Folder,Sub-folder,File,Current Squiz link,New squiz link
,,Law-application-process.png,https://www.deakin.edu.au/__data/assets/image/0012/2787519/Law-application-process.png,https://www.deakin.edu.au/students/careers-and-graduation/careers-and-employability/deakinTALENT/mydeakinTALENT/pathway-assets/Law-application-process.png
,,Traineeship-Dates.png,https://www.deakin.edu.au/__data/assets/image/0004/2787520/Traineeship-Dates.png,https://www.deakin.edu.au/students/careers-and-graduation/careers-and-employability/deakinTALENT/mydeakinTALENT/pathway-assets/Traineeship-Dates.png
,,Clerkship-dates.png,https://www.deakin.edu.au/__data/assets/image/0005/2787521/Clerkship-dates.png,https://www.deakin.edu.au/students/careers-and-graduation/careers-and-employability/deakinTALENT/mydeakinTALENT/pathway-assets/Clerkship-dates.png
,,,,
,,TC-Email-Banner,https://www.deakin.edu.au/__data/assets/image/0009/2731572/TC-Email-Banner.jpg,https://www.deakin.edu.au/students/careers-and-graduation/careers-and-employability/deakinTALENT/mydeakinTALENT/banners-and-logos/TC-Email-Banner.jpg
,,,,
,,,,
,Graphics for Targetconnect,,,
,,About us.png,https://www.deakin.edu.au/__data/assets/image/0006/2739336/About-us.png,https://www.deakin.edu.au/students/careers-and-graduation/careers-and-employability/deakinTALENT/mydeakinTALENT/graphic-assets/About-us.png
,,Add friends social media.png,https://www.deakin.edu.au/__data/assets/image/0007/2739337/Add-friends-social-media.png,https://www.deakin.edu.au/students/careers-and-graduation/careers-and-employability/deakinTALENT/mydeakinTALENT/graphic-assets/Add-friends-social-media.png
,,adventure-1850673_1920.jpg,https://www.deakin.edu.au/__data/assets/image/0008/2739338/adventure-1850673_1920.jpg,https://www.deakin.edu.au/students/careers-and-graduation/careers-and-employability/deakinTALENT/mydeakinTALENT/graphic-assets/adventure-1850673_1920.jpg
,,AI.png,https://www.deakin.edu.au/__data/assets/image/0009/2739339/AI.png,https://www.deakin.edu.au/students/careers-and-graduation/careers-and-employability/deakinTALENT/mydeakinTALENT/graphic-assets/AI.png
,,Business.png,https://www.deakin.edu.au/__data/assets/image/0010/2739340/Business.png,https://www.deakin.edu.au/students/careers-and-graduation/careers-and-employability/deakinTALENT/mydeakinTALENT/graphic-assets/Business.png
,,Businessman.png,https://www.deakin.edu.au/__data/assets/image/0011/2739341/Businessman.png,https://www.deakin.edu.au/students/careers-and-graduation/careers-and-employability/deakinTALENT/mydeakinTALENT/graphic-assets/Businessman.png
,,Certification.png,https://www.deakin.edu.au/__data/assets/image/0003/2739342/Certification.png,https://www.deakin.edu.au/students/careers-and-graduation/careers-and-employability/deakinTALENT/mydeakinTALENT/graphic-assets/Certification.png
,,Checking.png,https://www.deakin.edu.au/__data/assets/image/0004/2739343/Checking.png,https://www.deakin.edu.au/students/careers-and-graduation/careers-and-employability/deakinTALENT/mydeakinTALENT/graphic-assets/Checking.png
,,Checklist.png,https://www.deakin.edu.au/__data/assets/image/0005/2739344/Checklist.png,https://www.deakin.edu.au/students/careers-and-graduation/careers-and-employability/deakinTALENT/mydeakinTALENT/graphic-assets/Checklist.png
,,City skyline.png,https://www.deakin.edu.au/__data/assets/image/0006/2739345/City-skyline.png,https://www.deakin.edu.au/students/careers-and-graduation/careers-and-employability/deakinTALENT/mydeakinTALENT/graphic-assets/City-skyline.png
,,Coffee shop.png,https://www.deakin.edu.au/__data/assets/image/0007/2739346/Coffee-shop.png,https://www.deakin.edu.au/students/careers-and-graduation/careers-and-employability/deakinTALENT/mydeakinTALENT/graphic-assets/Coffee-shop.png
,,Collab.png,https://www.deakin.edu.au/__data/assets/image/0008/2739347/Collab.png,https://www.deakin.edu.au/students/careers-and-graduation/careers-and-employability/deakinTALENT/mydeakinTALENT/graphic-assets/Collab.png
,,Completed steps.png,https://www.deakin.edu.au/__data/assets/image/0009/2739348/Completed-steps.png,https://www.deakin.edu.au/students/careers-and-graduation/careers-and-employability/deakinTALENT/mydeakinTALENT/graphic-assets/Completed-steps.png
,,Completed.png,https://www.deakin.edu.au/__data/assets/image/0010/2739349/Completed.png,https://www.deakin.edu.au/students/careers-and-graduation/careers-and-employability/deakinTALENT/mydeakinTALENT/graphic-assets/Completed.png
,,Conversation.png,https://www.deakin.edu.au/__data/assets/image/0011/2739350/Conversation.png,https://www.deakin.edu.au/students/careers-and-graduation/careers-and-employability/deakinTALENT/mydeakinTALENT/graphic-assets/Conversation.png
,,Course.png,https://www.deakin.edu.au/__data/assets/image/0003/2739351/Course.png,https://www.deakin.edu.au/students/careers-and-graduation/careers-and-employability/deakinTALENT/mydeakinTALENT/graphic-assets/Course.png
,,Deadline.png,https://www.deakin.edu.au/__data/assets/image/0004/2739352/Deadline.png,https://www.deakin.edu.au/students/careers-and-graduation/careers-and-employability/deakinTALENT/mydeakinTALENT/graphic-assets/Deadline.png
,,Decision.png,https://www.deakin.edu.au/__data/assets/image/0005/2739353/Decision.png,https://www.deakin.edu.au/students/careers-and-graduation/careers-and-employability/deakinTALENT/mydeakinTALENT/graphic-assets/Decision.png
,,Doctor.png,https://www.deakin.edu.au/__data/assets/image/0006/2739354/Doctor.png,https://www.deakin.edu.au/students/careers-and-graduation/careers-and-employability/deakinTALENT/mydeakinTALENT/graphic-assets/Doctor.png
,,Doctors.png,https://www.deakin.edu.au/__data/assets/image/0007/2739355/Doctors.png,https://www.deakin.edu.au/students/careers-and-graduation/careers-and-employability/deakinTALENT/mydeakinTALENT/graphic-assets/Doctors.png
,,Elevator pitch.png,https://www.deakin.edu.au/__data/assets/image/0008/2739356/Elevator-pitch.png,https://www.deakin.edu.au/students/careers-and-graduation/careers-and-employability/deakinTALENT/mydeakinTALENT/graphic-assets/Elevator-pitch.png
,,Email.png,https://www.deakin.edu.au/__data/assets/image/0009/2739357/Email.png,https://www.deakin.edu.au/students/careers-and-graduation/careers-and-employability/deakinTALENT/mydeakinTALENT/graphic-assets/Email.png
,,Enthusiastic.png,https://www.deakin.edu.au/__data/assets/image/0010/2739358/Enthusiastic.png,https://www.deakin.edu.au/students/careers-and-graduation/careers-and-employability/deakinTALENT/mydeakinTALENT/graphic-assets/Enthusiastic.png
